Dialogue ID,Turn,Teacher,Student,Correct,Prob,KC Probs,Dialogue Acc.,KCs,Notes,Theta,Difficulty
0,1,Hi! How can I help?,--,na,--,--,0.6667,None,,--,--
0,2,--,this question. hello are you there. hello. sophie,na,--,--,0.6667,None,,--,--
0,3,"Hi! I am :). I'll just have a read of your question, bare with me :)",--,na,--,--,0.6667,None,,--,--
0,4,--,:),na,--,--,0.6667,None,,--,--
0,5,Ok!,--,na,--,--,0.6667,None,,--,--
0,6,--,lets go,na,--,--,0.6667,None,,--,--
0,7,Have you tried simplifying 9/15?,--,na,--,--,0.6667,None,,--,--
0,8,--,yes. 3/5,true,--,--,0.6667,1) Equivalent Fractions,,--,--
0,9,Excellent! Good work!!!! Now how would you get that to a denominator of 10?,--,na,--,--,0.6667,None,,--,--
0,10,--,what do you mean. 3/5,False,1.0000,"6.7500, -2.6250, 0.0000, 1.0000",0.6667,1) Equivalent Fractions,,6.7500,-2.6250
0,11,so in 3/5 you have 5 as the denominator,--,na,--,--,0.6667,None,,--,--
0,12,--,oh,na,--,--,0.6667,None,,--,--
0,13,this question needs 10,--,na,--,--,0.6667,None,,--,--
0,14,--,oh you times the numerator and denominator by 2,true,1.0000,"6.1250, -2.6250, 0.0000, 1.0000",0.6667,1) Equivalent Fractions,,6.1250,-2.6250
0,15,Exactly!!!!! 🔥. So what do you think it will become?,--,na,--,--,0.6667,None,,--,--
0,16,--,c,true,1.0000,"8.5000, -3.4375, 0.0000, 1.0000",0.6667,1) Equivalent Fractions,,8.5000,-3.4375
0,17,"Well done Kiran 🧠🧠🧠. Great work, go pop your answer in!",--,na,--,--,0.6667,None,,--,--
,,,,,,,,,,,
1,1,--,hello,na,--,--,0.5714,None,,--,--
1,2,"Hi Zara, would you like some help with this question?",--,na,--,--,0.5714,None,,--,--
1,3,--,how are you,na,--,--,0.5714,None,,--,--
1,4,"I'm good thanks, how are you?",--,na,--,--,0.5714,None,,--,--
1,5,--,im stuck on this question,na,--,--,0.5714,None,,--,--
1,6,"Ok, let's have a look together.",--,na,--,--,0.5714,None,,--,--
1,7,--,okay,na,--,--,0.5714,None,,--,--
1,8,"So, we're thinking about place value in this question.  10,000 is ten thousand.  And 20 is twenty or two tens.",--,na,--,--,0.5714,None,,--,--
1,9,--,yes,na,--,--,0.5714,None,,--,--
1,10,Let's think about an easier number first...it might help. What is 100-20?,--,na,--,--,0.5714,None,,--,--
1,11,--,80,true,--,--,0.5714,1) Mental Addition and Subtraction,,--,--
1,12,"Great, so which digits changed when you did that sum?",--,na,--,--,0.5714,None,,--,--
1,13,--,the tens and then there were no hundreds left,true,1.0000,"7.8750, -2.8125, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.8750,-2.8125
1,14,"Yes, great!  So the hundreds and the tens changed. So, do you think this would be the same for 10,000 or if you're not sure we could look at 1000 first?",--,na,--,--,0.5714,None,,--,--
1,15,--,yes,na,--,--,0.5714,None,,--,--
1,16,"So, what is 1000-80?",--,na,--,--,0.5714,None,,--,--
1,17,--,200,False,1.0000,"7.6250, -4.8750, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.6250,-4.8750
1,18,"I'm still just taking tens away...in fact I meant to say 1000-20, so have a go at 1000-20.",--,na,--,--,0.5714,None,,--,--
1,19,--,800,False,1.0000,"7.3750, -4.9375, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.3750,-4.9375
1,20,"1000-200=800, but we're doing 1000-20, have another go?",--,na,--,--,0.5714,None,,--,--
1,21,--,oh that would be 980,true,1.0000,"7.0000, -4.7500, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.0000,-4.7500
1,22,"Yes, great!  Well done! and then getting to the question above, what is 10,000-20?",--,na,--,--,0.5714,None,,--,--
1,23,--,9800,False,1.0000,"7.2500, -5.1875, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.2500,-5.1875
1,24,"Nearly...you've taken away 200, but you only need to take away 20.",--,na,--,--,0.5714,None,,--,--
1,25,--,oh that is 9980,true,1.0000,"7.2500, -5.1250, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.2500,-5.1250
1,26,"Yes, great!  You can probably see a pattern emerging.  But now, you know the answer to your question above, which answer is it?",--,na,--,--,0.5714,None,,--,--
1,27,--,is the answer d,true,1.0000,"7.2500, -5.3125, 0.0000, 1.0000",0.5714,1) Mental Addition and Subtraction,,7.2500,-5.3125
1,28,"Yes!  Great work, Zara!  I'll leave you to enter your answer now if you're happy with this?",--,na,--,--,0.5714,None,,--,--
1,29,--,yes,na,--,--,0.5714,None,,--,--
1,30,:-) Well done!,--,na,--,--,0.5714,None,,--,--
,,,,,,,,,,,
2,1,Hello Hugo 😀😀😀. How can I help?!,--,na,--,--,0.6000,None,,--,--
2,2,--,"Hi I was just wondering if I could have some guidance on this question, please :)",na,--,--,0.6000,None,,--,--
2,3,Of course 😊👍,--,na,--,--,0.6000,None,,--,--
2,4,--,Thanks,na,--,--,0.6000,None,,--,--
2,5,So Edward eats 1/3 of 2/3 😀. Does that make sense?,--,na,--,--,0.6000,None,,--,--
2,6,--,Yes 👍,na,--,--,0.6000,None,,--,--
2,7,"Great stuff, now in maths if I wanted to find for example 1/3 of something 😊. What mathematical operation would I do? Would I add, subtract, divide or multiply? 🧠💡",--,na,--,--,0.6000,None,,--,--
2,8,--,For that it would be subtract ? Right ?,False,--,--,0.6000,1) Multiplying Fractions,,--,--
2,9,"Not quite, for example 1/2 of 10 = 5. So what have we done with the 1/2 and 10? Can you spot it? 😀",--,na,--,--,0.6000,None,,--,--
2,10,--,10 divided by 2,False,1.0000,"6.0000, -3.9375, 0.0000, 1.0000",0.6000,1) Multiplying Fractions,,6.0000,-3.9375
2,11,"Yes, totally correct but I'm talking about the 10 and 1/2... 1/2 ___ 10 = 5. What needs to go in the gap? 🧠. If you're not sure, just say in the chat 👍",--,na,--,--,0.6000,None,,--,--
2,12,--,I’m not really sure sorry :( 😔,False,1.0000,"6.6250, -4.7500, 0.0000, 1.0000",0.6000,1) Multiplying Fractions,,6.6250,-4.7500
2,13,"It's OK, it would be multiply 😀💡. 1/2 x 10 = 5. So that's how we find 1/3 of something we do 1/3 x 😊. So for this question we need 1/3 of 2/3 so which sum would we do? 🧠💡",--,na,--,--,0.6000,None,,--,--
2,14,--,A times,true,1.0000,"4.5000, -4.4375, 0.0000, 1.0000",0.6000,1) Multiplying Fractions,,4.5000,-4.4375
2,15,EXACTLY ✅✅✅,--,na,--,--,0.6000,None,,--,--
2,16,--,1/3 x 2/3,true,1.0000,"5.8750, -4.5000, 0.0000, 1.0000",0.6000,1) Multiplying Fractions,,5.8750,-4.5000
2,17,So which answer letter is correct?!,--,na,--,--,0.6000,None,,--,--
2,18,--,B,true,1.0000,"6.7500, -4.0938, 0.0000, 1.0000",0.6000,1) Multiplying Fractions,,6.7500,-4.0938
2,19,Spot on Hugo 😀👍. WELL DONE! Does this question make a little bit more sense?!,--,na,--,--,0.6000,None,,--,--
2,20,--,Thanks a lot for the help. Yes it does. :),na,--,--,0.6000,None,,--,--
2,21,You are super welcome 😊. Great to hear! I'll pass you back to eedi 🤖✅. Bye for now 😀👋,--,na,--,--,0.6000,None,,--,--
2,22,--,Thanks :),na,--,--,0.6000,None,,--,--
,,,,,,,,,,,
3,1,Hi David 👋👋👋. How can I help?!,--,na,--,--,1.0000,None,,--,--
3,2,--,i dont understand. hello,na,--,--,1.0000,None,,--,--
3,3,OK so for this one we need to fill in the blanks with each option until we find the true statement 😁😁😁. So A 6 gives us... 8466 > 8466. Is this true?,--,na,--,--,1.0000,None,,--,--
3,4,--,no,true,--,--,1.0000,1) Place Value,,--,--
3,5,Exactly they are the same. So now we try B 7. 8467 > 8476. Is this true?,--,na,--,--,1.0000,None,,--,--
3,6,--,no,true,1.0000,"5.3750, -4.1562, 0.0000, 1.0000",1.0000,1) Place Value,,5.3750,-4.1562
3,7,Great so now we try the next one. We need to put in 9. Can you do that for me...,--,na,--,--,1.0000,None,,--,--
3,8,--,8469 / 8496,true,1.0000,"5.1250, -4.2188, 0.0000, 1.0000",1.0000,1) Place Value,,5.1250,-4.2188
3,9,Great work 😁😁😁. So is 8469 greater than 8496? 🧠,--,na,--,--,1.0000,None,,--,--
3,10,--,no,true,1.0000,"5.2500, -3.0000, 0.0000, 1.0000",1.0000,1) Place Value,,5.2500,-3.0000
3,11,Awesome ✅✅✅✅✅ so which one must be true?!,--,na,--,--,1.0000,None,,--,--
3,12,--,d,true,1.0000,"4.8750, -4.0938, 0.0000, 1.0000",1.0000,1) Place Value,,4.8750,-4.0938
3,13,PERFECT 👍👍👍👍👍👍👍. WELL DONE DAVID. Shall I pass you back to eedi? 🤖,--,na,--,--,1.0000,None,,--,--
3,14,--,yea,na,--,--,1.0000,None,,--,--
3,15,"Awesome, nice one for requesting help 😃👍and sorry for the delays! Bye for now 👋👋👋",--,na,--,--,1.0000,None,,--,--
